skill,category,weight
pyenv,technical,1.0
venv,technical,1.0
virtualenv,technical,1.0
virtualenvwrapper,technical,1.0
imghdr,technical,1.0
mimetypes,technical,1.0
path.py,technical,1.0
pathlib,technical,1.0
python-magic,technical,1.0
unipath,technical,1.0
watchdog,technical,1.0
cffi,technical,1.0
ctypes,technical,1.0
pycuda,technical,1.0
swig,technical,1.0
deform,technical,1.0
django-bootstrap3,technical,1.0
django-crispy-forms,technical,1.0
django-remote-forms,technical,1.0
wtforms,technical,1.0
cytoolz,technical,1.0
fn.py,technical,1.0
funcy,technical,1.0
toolz,technical,1.0
curses,technical,1.0
enaml,technical,1.0
flexx,technical,1.0
kivy,technical,1.0
pyglet,technical,1.0
pygobject,technical,1.0
pyqt,technical,1.0
pyside,technical,1.0
pywebview,technical,1.0
tkinter,technical,1.0
toga,technical,1.0
urwid,technical,1.0
wxpython,technical,1.0
cocos2d,technical,1.0
panda3d,technical,1.0
pygame,technical,1.0
pyogre,technical,1.0
pyopengl,technical,1.0
pysdl2,technical,1.0
renpy,technical,1.0
django-countries,technical,1.0
geodjango,technical,1.0
geoip,technical,1.0
geojson,technical,1.0
geopy,technical,1.0
pygeoip,technical,1.0
beautifulsoup,technical,1.0
bleach,technical,1.0
cssutils,technical,1.0
html5lib,technical,1.0
lxml,technical,1.0
markupsafe,technical,1.0
pyquery,technical,1.0
untangle,technical,1.0
weasyprint,technical,1.0
xmldataset,technical,1.0
xmltodict,technical,1.0
grequests,technical,1.0
httplib2,technical,1.0
requests,technical,1.0
treq,technical,1.0
urllib3,technical,1.0
ino,technical,1.0
keyboard,technical,1.0
mouse,technical,1.0
pingo,technical,1.0
pyro,technical,1.0
pyuserinput,technical,1.0
scapy,technical,1.0
wifi,technical,1.0
hmap,technical,1.0
imgseek,technical,1.0
nude.py,technical,1.0
pagan,technical,1.0
pillow,technical,1.0
pybarcode,technical,1.0
pygram,technical,1.0
python-qrcode,technical,1.0
quads,technical,1.0
scikit-image,technical,1.0
thumbor,technical,1.0
wand,technical,1.0
clpython,technical,1.0
cpython,technical,1.0
cython,technical,1.0
grumpy,technical,1.0
ironpython,technical,1.0
jython,technical,1.0
micropython,technical,1.0
numba,technical,1.0
peachpy,technical,1.0
pyjion,technical,1.0
pypy,technical,1.0
pysec,technical,1.0
pyston,technical,1.0
stackless,technical,1.0
interactive,technical,1.0
bpython,technical,1.0
jupyter,technical,1.0
ptpython,technical,1.0
babel,technical,1.0
pyicu,technical,1.0
apscheduler,technical,1.0
django-schedule,technical,1.0
doit,technical,1.0
gunnery,technical,1.0
joblib,technical,1.0
plan,technical,1.0
schedule,technical,1.0
spiff,technical,1.0
taskflow,technical,1.0
eliot,technical,1.0
logbook,technical,1.0
logging,technical,1.0
sentry,technical,1.0
metrics,technical,1.0
nupic,technical,1.0
scikit-learn,technical,1.0
spark,technical,1.0
vowpal_porpoise,technical,1.0
xgboost,technical,1.0
pyspark,technical,1.0
luigi,technical,1.0
mrjob,technical,1.0
streamparse,technical,1.0
dask,technical,1.0
python(x,technical,1.0
y),technical,1.0
pythonlibs,technical,1.0
pythonnet,technical,1.0
pywin32,technical,1.0
winpython,technical,1.0
gensim,technical,1.0
jieba,technical,1.0
langid.py,technical,1.0
nltk,technical,1.0
pattern,technical,1.0
polyglot,technical,1.0
snownlp,technical,1.0
spacy,technical,1.0
textblob,technical,1.0
mininet,technical,1.0
pox,technical,1.0
pyretic,technical,1.0
sdx,technical,1.0
asyncio,technical,1.0
diesel,technical,1.0
pulsar,technical,1.0
pyzmq,technical,1.0
twisted,technical,1.0
